gen	nevals	avg                            	std                            	min                	max                
0  	300   	[4.73300000e-01 6.27033333e+02]	[ 0.10675725 64.35862197]      	[1.85e-01 4.45e+02]	[7.30e-01 8.35e+02]
1  	145   	[5.36983333e-01 6.36083333e+02]	[ 0.09634997 60.66500685]      	[2.25e-01 4.50e+02]	[7.40e-01 7.95e+02]
2  	173   	[5.8010e-01 6.3705e+02]        	[ 0.08747184 57.9874771 ]      	[2.35e-01 4.35e+02]	[  0.815 785.   ]  
3  	191   	[6.08583333e-01 6.41816667e+02]	[ 0.08199234 60.95312179]      	[2.7e-01 4.5e+02]  	[8.10e-01 8.25e+02]
4  	177   	[6.33683333e-01 6.51383333e+02]	[ 0.08434068 64.20801914]      	[2.90e-01 4.75e+02]	[7.85e-01 8.10e+02]
5  	191   	[6.57733333e-01 6.65416667e+02]	[ 0.08114203 62.71158629]      	[3.35e-01 4.70e+02]	[  0.825 810.   ]  
6  	167   	[  0.6768 672.7   ]            	[ 0.07459508 59.80420832]      	[3.9e-01 4.7e+02]  	[  0.84 830.  ]    
7  	175   	[  0.68628333 677.65      ]    	[ 0.08046699 60.83360502]      	[4.1e-01 5.1e+02]  	[8.55e-01 8.70e+02]
8  	175   	[  0.69535 673.25   ]          	[ 0.07399974 64.65952495]      	[3.15e-01 4.85e+02]	[8.55e-01 8.65e+02]
9  	152   	[  0.7095     678.31666667]    	[ 0.07412546 61.4728915 ]      	[3.15e-01 4.85e+02]	[8.40e-01 8.65e+02]
10 	171   	[  0.71841667 681.45      ]    	[ 0.06878645 59.51594324]      	[4.80e-01 4.95e+02]	[8.40e-01 8.55e+02]
11 	166   	[  0.72798333 677.08333333]    	[ 0.06026898 56.37738662]      	[4.65e-01 5.25e+02]	[  0.84 830.  ]    
12 	169   	[  0.73081667 681.6       ]    	[ 0.06534077 56.77828223]      	[  0.51 510.  ]    	[  0.85 835.  ]    
13 	188   	[  0.73161667 681.91666667]    	[ 0.07233581 65.95384539]      	[4.4e-01 5.1e+02]  	[  0.865 835.   ]  
14 	168   	[  0.7504     691.61666667]    	[5.53384134e-02 6.05885280e+01]	[  0.565 525.   ]  	[  0.85 840.  ]    
15 	167   	[  0.75336667 692.45      ]    	[5.75412799e-02 6.05811921e+01]	[5.35e-01 5.40e+02]	[8.45e-01 8.50e+02]
16 	175   	[  0.7516     692.63333333]    	[ 0.06747177 63.48411   ]      	[5.05e-01 5.15e+02]	[8.65e-01 8.85e+02]
17 	174   	[  0.76146667 692.93333333]    	[6.30992516e-02 6.40928667e+01]	[4.55e-01 4.80e+02]	[8.65e-01 8.85e+02]
18 	162   	[  0.77078333 701.5       ]    	[5.79221005e-02 5.93934620e+01]	[4.65e-01 4.95e+02]	[  0.87 850.  ]    
19 	175   	[  0.77336667 697.73333333]    	[5.49893828e-02 6.21103498e+01]	[  0.565 500.   ]  	[  0.88 880.  ]    
20 	180   	[  0.77891667 698.26666667]    	[5.47531709e-02 6.12235975e+01]	[  0.59 540.  ]    	[  0.88 865.  ]    
21 	181   	[  0.78035 704.9    ]          	[6.11402282e-02 6.26044993e+01]	[  0.545 505.   ]  	[  0.875 865.   ]  
22 	183   	[  0.78355 703.95   ]          	[6.03819578e-02 6.43828199e+01]	[  0.545 525.   ]  	[  0.885 870.   ]  
